msc,692,http://masoncity.craigslist.org,Mason City,Iowa,*US*
mli,307,http://quadcities.craigslist.org,Quad Cities,Iowa,*US*
sux,341,http://siouxcity.craigslist.org,Sioux City,Iowa,*US*
otu,691,http://ottumwa.craigslist.org,Southeast Ia,Iowa,*US*
wlo,567,http://waterloo.craigslist.org,Waterloo / Cedar Falls,Iowa,*US*
lwr,347,http://lawrence.craigslist.org,Lawrence,Kansas,*US*
mhk,428,http://ksu.craigslist.org,Manhattan,Kansas,*US*
nwk,688,http://nwks.craigslist.org,Northwest Ks,Kansas,*US*
sns,690,http://salina.craigslist.org,Salina,Kansas,*US*
sek,689,http://seks.craigslist.org,Southeast Ks,Kansas,*US*
swk,687,http://swks.craigslist.org,Southwest Ks,Kansas,*US*
tpk,280,http://topeka.craigslist.org,Topeka,Kansas,*US*
wic,99,http://wichita.craigslist.org,Wichita,Kansas,*US*
blg,342,http://bgky.craigslist.org,Bowling Green,Kentucky,*US*
eky,674,http://eastky.craigslist.org,Eastern Kentucky,Kentucky,*US*
lex,133,http://lexington.craigslist.org,Lexington,Kentucky,*US*
lou,58,http://louisville.craigslist.org,Louisville,Kentucky,*US*
owb,673,http://owensboro.craigslist.org,Owensboro,Kentucky,*US*
wky,377,http://westky.craigslist.org,Western Ky,Kentucky,*US*
btr,199,http://batonrouge.craigslist.org,Baton Rouge,Louisiana,*US*
aex,644,http://cenla.craigslist.org,Central Louisiana,Louisiana,*US*
hum,643,http://houma.craigslist.org,Houma,Louisiana,*US*
lft,283,http://lafayette.craigslist.org,Lafayette,Louisiana,*US*
lkc,284,http://lakecharles.craigslist.org,Lake Charles,Louisiana,*US*
mlu,563,http://monroemi.craigslist.org,Monroe,Louisiana,*US*
nor,31,http://neworleans.craigslist.org,New Orleans,Louisiana,*US*
shv,206,http://shreveport.craigslist.org,Shreveport,Louisiana,*US*
mne,169,http://maine.craigslist.org,Maine,Maine,*US*
anp,460,http://annapolis.craigslist.org,Annapolis,Maryland,*US*
bal,34,http://baltimore.craigslist.org,Baltimore,Maryland,*US*
esh,328,http://easternshore.craigslist.org,Eastern Shore,Maryland,*US*
fdk,633,http://frederick.craigslist.org,Frederick,Maryland,*US*
smd,556,http://smd.craigslist.org,Southern Maryland,Maryland,*US*
wmd,329,http://westmd.craigslist.org,Western Maryland,Maryland,*US*
bos,4,http://boston.craigslist.org,Boston,Massachusetts,*US*
cap,239,http://capecod.craigslist.org,Cape Cod / Islands,Massachusetts,*US*
sma,378,http://southcoast.craigslist.org,South Coast,Massachusetts,*US*
wma,173,http://westernmass.craigslist.org,Western Massachusetts,Massachusetts,*US*
wor,240,http://worcester.craigslist.org,Worcester / Central Ma,Massachusetts,*US*
aaa,172,http://annarbor.craigslist.org,Ann Arbor,Michigan,*US*
btc,628,http://battlecreek.craigslist.org,Battle Creek,Michigan,*US*
cmu,434,http://centralmich.craigslist.org,Central Michigan,Michigan,*US*
det,22,http://detroit.craigslist.org,Detroit Metro,Michigan,*US*
fnt,259,http://flint.craigslist.org,Flint,Michigan,*US*
grr,129,http://grandrapids.craigslist.org,Grand Rapids,Michigan,*US*
hld,630,http://holland.craigslist.org,Holland,Michigan,*US*
jxn,426,http://jxn.craigslist.org,Jackson,Michigan,*US*
kzo,261,http://kalamazoo.craigslist.org,Kalamazoo,Michigan,*US*
lan,212,http://lansing.craigslist.org,Lansing,Michigan,*US*
mnr,629,http://monroe.craigslist.org,Monroe,Michigan,*US*
mkg,554,http://muskegon.craigslist.org,Muskegon,Michigan,*US*
nmi,309,http://nmi.craigslist.org,Northern Michigan,Michigan,*US*
phn,555,http://porthuron.craigslist.org,Port Huron,Michigan,*US*
mbs,260,http://saginaw.craigslist.org,Saginaw-Midland-Baycity,Michigan,*US*
swm,572,http://swmi.craigslist.org,Southwest Michigan,Michigan,*US*
thb,627,http://thumb.craigslist.org,The Thumb,Michigan,*US*
yup,262,http://up.craigslist.org,Upper Peninsula,Michigan,*US*
bji,663,http://bemidji.craigslist.org,Bemidji,Minnesota,*US*
brd,664,http://brainerd.craigslist.org,Brainerd,Minnesota,*US*
dlh,255,http://duluth.craigslist.org,Duluth / Superior,Minnesota,*US*
mkt,421,http://mankato.craigslist.org,Mankato,Minnesota,*US*
min,19,http://minneapolis.craigslist.org,Minneapolis / St Paul,Minnesota,*US*
rmn,316,http://rmn.craigslist.org,Rochester,Minnesota,*US*
mml,665,http://marshall.craigslist.org,Southwest Mn,Minnesota,*US*
stc,369,http://stcloud.craigslist.org,St Cloud,Minnesota,*US*
gpt,230,http://gulfport.craigslist.org,Gulfport / Biloxi,Mississippi,*US*
usm,374,http://hattiesburg.craigslist.org,Hattiesburg,Mississippi,*US*
jan,134,http://jackson.craigslist.org,Jackson,Mississippi,*US*
mei,641,http://meridian.craigslist.org,Meridian,Mississippi,*US*
nms,375,http://northmiss.craigslist.org,North Mississippi,Mississippi,*US*
hez,642,http://natchez.craigslist.org,Southwest Ms,Mississippi,*US*
cou,222,http://columbiamo.craigslist.org,Columbia / Jeff City,Missouri,*US*
jln,423,http://joplin.craigslist.org,Joplin,Missouri,*US*
ksc,30,http://kansascity.craigslist.org,Kansas City,Missouri,*US*
krk,696,http://kirksville.craigslist.org,Kirksville,Missouri,*US*
loz,695,http://loz.craigslist.org,Lake Of The Ozarks,Missouri,*US*
smo,566,http://semo.craigslist.org,Southeast Missouri,Missouri,*US*
sgf,221,http://springfield.craigslist.org,Springfield,Missouri,*US*
stj,694,http://stjoseph.craigslist.org,St Joseph,Missouri,*US*
stl,29,http://stlouis.craigslist.org,St Louis,Missouri,*US*
bil,657,http://billings.craigslist.org,Billings,Montana,*US*
bzn,658,http://bozeman.craigslist.org,Bozeman,Montana,*US*
btm,661,http://butte.craigslist.org,Butte,Montana,*US*
gtf,660,http://greatfalls.craigslist.org,Great Falls,Montana,*US*
hln,659,http://helena.craigslist.org,Helena,Montana,*US*
fca,662,http://kalispell.craigslist.org,Kalispell,Montana,*US*
mso,656,http://missoula.craigslist.org,Missoula,Montana,*US*
mnt,192,http://montana.craigslist.org,Montana (Old),Montana,*US*
gil,432,http://grandisland.craigslist.org,Grand Island,Nebraska,*US*
lnk,282,http://lincoln.craigslist.org,Lincoln,Nebraska,*US*
lbf,668,http://northplatte.craigslist.org,North Platte,Nebraska,*US*
oma,55,http://omaha.craigslist.org,Omaha / Council Bluffs,Nebraska,*US*
bff,669,http://scottsbluff.craigslist.org,Scottsbluff / Panhandle,Nebraska,*US*
elk,652,http://elko.craigslist.org,Elko,Nevada,*US*
lvg,26,http://lasvegas.craigslist.org,Las Vegas,Nevada,*US*
rno,92,http://reno.craigslist.org,Reno / Tahoe,Nevada,*US*
nhm,198,http://nh.craigslist.org,New Hampshire,New Hampshire,*US*
cnj,349,http://cnj.craigslist.org,Central Nj,New Jersey,*US*
jys,561,http://jerseyshore.craigslist.org,Jersey Shore,New Jersey,*US*
njy,170,http://newjersey.craigslist.org,North Jersey,New Jersey,*US*
snj,286,http://southjersey.craigslist.org,South Jersey,New Jersey,*US*
abq,50,http://albuquerque.craigslist.org,Albuquerque,New Mexico,*US*
cvn,653,http://clovis.craigslist.org,Clovis / Portales,New Mexico,*US*
fnm,568,http://farmington.craigslist.org,Farmington,New Mexico,*US*
lcr,334,http://lascruces.craigslist.org,Las Cruces,New Mexico,*US*
row,420,http://roswell.craigslist.org,Roswell / Carlsbad,New Mexico,*US*
saf,218,http://santafe.craigslist.org,Santa Fe / Taos,New Mexico,*US*
alb,59,http://albany.craigslist.org,Albany,New York,*US*
bgm,248,http://binghamton.craigslist.org,Binghamton,New York,*US*
buf,40,http://buffalo.craigslist.org,Buffalo,New York,*US*
cat,451,http://catskills.craigslist.org,Catskills,New York,*US*
chq,452,http://chautauqua.craigslist.org,Chautauqua,New York,*US*
elm,453,http://elmira.craigslist.org,Elmira-Corning,New York,*US*
fgl,685,http://fingerlakes.craigslist.org,Finger Lakes,New York,*US*
gfl,686,http://glensfalls.craigslist.org,Glens Falls,New York,*US*
hud,249,http://hudsonvalley.craigslist.org,Hudson Valley,New York,*US*
ith,201,http://ithaca.craigslist.org,Ithaca,New York,*US*
isp,250,http://longisland.craigslist.org,Long Island,New York,*US*
nyc,3,http://newyork.craigslist.org,New York City,New York,*US*
onh,684,http://oneonta.craigslist.org,Oneonta,New York,*US*
plb,338,http://plattsburgh.craigslist.org,Plattsburgh-Adirondacks,New York,*US*
ptd,683,http://potsdam.craigslist.org,Potsdam-Canton-Massena,New York,*US*
rcs,126,http://rochester.craigslist.org,Rochester,New York,*US*
syr,130,http://syracuse.craigslist.org,Syracuse,New York,*US*
tts,704,http://twintiers.craigslist.org,Twin Tiers Ny/Pa,New York,*US*
uti,247,http://utica.craigslist.org,Utica-Rome-Oneida,New York,*US*
wtn,337,http://watertown.craigslist.org,Watertown,New York,*US*
ash,171,http://asheville.craigslist.org,Asheville,North Carolina,*US*
bnc,446,http://boone.craigslist.org,Boone,North Carolina,*US*
cha,41,http://charlotte.craigslist.org,Charlotte,North Carolina,*US*
enc,335,http://eastnc.craigslist.org,Eastern Nc,North Carolina,*US*
fay,273,http://fayetteville.craigslist.org,Fayetteville,North Carolina,*US*
gbo,61,http://greensboro.craigslist.org,Greensboro,North Carolina,*US*
hky,462,http://hickory.craigslist.org,Hickory / Lenoir,North Carolina,*US*
oaj,634,http://onslow.craigslist.org,Jacksonville,North Carolina,*US*
obx,336,http://outerbanks.craigslist.org,Outer Banks,North Carolina,*US*
